0	1
AND(AND(AND(qgrams(x.firstName,y.firstName)|0.62,AND(AND(jaccard(x.authors,y.authors)|0.25,qgrams(x.firstName,y.firstName)|0.25)|0.62,ratcliff(x.authors,y.authors)|0.62)|0.25)|0.25,mongeElkan(x.firstName,y.firstName)|0.62)|0.62,qgrams(x.authors,y.authors)|0.25)	a link will be constructed whereverthe firstNames of the source and the target have a Qgrams similarity of 62% and the authors of the source and the target have a Jaccard similarity of 25% and the firstNames of the source and the target have a Qgrams similarity of 25% and the authors of the source and the target have a Ratcliff similarity of 62% and the firstNames of the source and the target have a Mongeelkan similarity of 62% and the authors of the source and the target have a Qgrams similarity of 25%
OR(OR(OR(trigrams(x.name,y.name)|0.62,OR(OR(cosine(x.director,y.director)|0.25,trigrams(x.name,y.name)|0.25)|0.62,ratcliff(x.director,y.director)|0.62)|0.25)|0.25,levenshtein(x.name,y.name)|0.62)|0.62,trigrams(x.director,y.director)|0.25)	a link will be generated if the names of the source and the target have a Trigrams similarity of 62% or the directors of the source and the target have a Cosine similarity of 25% or the names of the source and the target have a Trigrams similarity of 25% or the directors of the source and the target have a Ratcliff similarity of 62% or the names of the source and the target have a Levenshtein similarity of 62% or the directors of the source and the target have a Trigrams similarity of 25%
OR(OR(OR(qgrams(x.title,y.title)|0.45,AND(OR(jaccard(x.label,y.label)|0.37,qgrams(x.title,y.title)|0.37)|0.45,soundex(x.label,y.label)|0.45)|0.37)|0.37,jaroWinkler(x.title,y.title)|0.45)|0.45,qgrams(x.label,y.label)|0.37)	a link will be discovered in case thatthe titles of the source and the target have a Qgrams similarity of 45% or the labels of the source and the target have a Jaccard similarity of 37% or the titles of the source and the target have a Qgrams similarity of 37% and the labels of the source and the target have a Soundex similarity of 45% or the titles of the source and the target have a Jarowinkler similarity of 45% or the labels of the source and the target have a Qgrams similarity of 37%
OR(OR(trigrams(x.description,y.description)|0.45,cosine(x.givenName,y.description)|0.25)|0.45,OR(levenshtein(x.givenName,y.givenName)|0.45,trigrams(x.givenName,y.description)|0.25)|0.45)	a link will be generated in case thatthe descriptions of the source and the target have a Trigrams similarity of 45% or the givenName of the source and the description of the target have a Cosine similarity of 25% or the givenNames of the source and the target have a Levenshtein similarity of 45% or the givenName of the source and the description of the target have a Trigrams similarity of 25%
AND(OR(jaccard(x.firstName,y.description)|0.45,AND(OR(trigrams(x.firstName,y.description)|0.37,levenshtein(x.description,y.description)|0.45)|0.45,soundex(x.firstName,y.description)|0.37)|0.45)|0.45,trigrams(x.description,y.description)|0.37)	a link will be produced when the firstName of the source and the description of the target have a Jaccard similarity of 45% or a Trigrams similarity of 37% or the descriptions of the source and the target have a Levenshtein similarity of 45% and the firstName of the source and the description of the target have a Soundex similarity of 37% and the descriptions of the source and the target have a Trigrams similarity of 37%
OR(OR(qgrams(x.label,y.label)|0.45,jaccard(x.firstName,y.label)|1.0)|0.45,OR(levenshtein(x.firstName,y.firstName)|0.45,qgrams(x.firstName,y.label)|1.0)|0.45)	a link can be found when the labels of the source and the target have a Qgrams similarity of 45% or the firstName of the source and the label of the target have a Jaccard similarity of 100% or the firstNames of the source and the target have a Levenshtein similarity of 45% or the firstName of the source and the label of the target have a Qgrams similarity of 100%
AND(AND(OR(ratcliff(x.firstName,y.firstName)|0.0,OR(AND(overlap(x.authors,y.authors)|1.0,cosine(x.authors,y.authors)|1.0)|0.0,ratcliff(x.authors,y.firstName)|0.0)|1.0)|1.0,overlap(x.authors,y.firstName)|0.0)|0.0,ratcliff(x.firstName,y.authors)|1.0)	a link will be discovered in case that the firstNames of the source and the target have a Ratcliff similarity of 0% and the authors of the source and the target have an Overlap similarity and a Cosine similarity of 100% or the author of the source and the firstName of the target have a Ratcliff similarity and an Overlap similarity of 0% and the firstName of the source and the author of the target have a Ratcliff similarity of 100%
OR(OR(OR(soundex(x.title,y.title)|0.62,OR(OR(overlap(x.movie,y.movie)|0.25,cosine(x.movie,y.movie)|0.25)|0.62,soundex(x.movie,y.title)|0.62)|0.25)|0.25,overlap(x.movie,y.title)|0.62)|0.62,soundex(x.title,y.movie)|0.25)	a link will be generated at the same time the titles of the source and the target have a Soundex similarity of 62% or the movies of the source and the target have an Overlap similarity or a Cosine similarity of 25% or the movie of the source and the title of the target have a Soundex similarity or an Overlap similarity of 62% or the title of the source and the movie of the target have a Soundex similarity of 25%
OR(OR(OR(trigrams(x.title,y.title)|0.0,AND(OR(cosine(x.authors,y.authors)|1.0,trigrams(x.title,y.title)|1.0)|0.0,soundex(x.authors,y.authors)|0.0)|1.0)|1.0,mongeElkan(x.title,y.title)|0.0)|0.0,trigrams(x.authors,y.authors)|1.0)	a link will be generated with the condition thatthe titles of the source and the target have a Trigrams similarity of 0% or the authors of the source and the target have a Cosine similarity of 100% or the titles of the source and the target have a Trigrams similarity of 100% and the authors of the source and the target have a Soundex similarity of 0% or the titles of the source and the target have a Mongeelkan similarity of 0% or the authors of the source and the target have a Trigrams similarity of 100%
AND(AND(cosine(x.title,y.director)|0.45,AND(AND(qgrams(x.title,y.director)|1.0,mongeElkan(x.director,y.director)|0.45)|0.45,soundex(x.title,y.director)|1.0)|0.45)|0.45,qgrams(x.director,y.director)|1.0)	a link will be generated whenever the title of the source and the director of the target have a Cosine similarity of 45% and a Qgrams similarity of 100% and the directors of the source and the target have a Mongeelkan similarity of 45% and the title of the source and the director of the target have a Soundex similarity of 100% and the directors of the source and the target have a Qgrams similarity of 100%
